Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
shell,0.0001975605647068,-0.00118367480029045,0.00131122535491753,0,0,0,0.00302316737105698,4.317709107102E-07,3.7521793126441E-14,-1.4297619885974E-13,5.90726203447095E-07,4.11669510834951E-09,2.62862002776921E-07,0,0,0,0,0,0,package://URDF.SLDASM/meshes/shell.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/shell.STL,,Rigid-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
skin,-8.83563558906272E-10,0.00928377249438958,-4.69758738418785E-10,0,0,0,0.0141334199432343,1.97205758958518E-06,1.30236542750782E-13,-1.91979296408372E-13,2.5905085143408E-06,3.71540430992269E-14,1.4162342440406E-06,0,0,0,0,0,0,package://URDF.SLDASM/meshes/skin.STL,0.317647058823529,0.247058823529412,0.207843137254902,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/skin.STL,,SKIN-1,Cordinate,Axis,Axis,continuous,0.000197564177104219,-0.00200000000000954,0.00879327483833061,1.5707963267949,0,0,shell,0,-1,0,,,,,,,,,,,,
